Resource ID,Disaster ID,Resource Type,Quantity,Cost (USD),Deployment Date,Location,Status
R-5000,D-1126,Food,686,19067.34,12/19/2012,Nashik,Used
R-5001,D-1646,Food,335,17478.29,1/5/2015,Pune,Used
R-5002,D-2532,Rescue Equipment,600,12636.07,6/16/2007,Ratnagiri,Used
R-5003,D-1623,Shelter,270,27798.86,5/14/2005,Mumbai,Pending
R-5004,D-2009,Food,535,28398.71,3/14/2014,Pune,Allocated
R-5005,D-2010,Shelter,751,11671.61,5/22/2008,Kolhapur,Pending
R-5006,D-1375,Rescue Equipment,85,40686.88,8/28/2016,Aurangabad,Allocated
R-5007,D-1823,Rescue Equipment,963,19905.13,9/19/2007,Thane,Pending
R-5008,D-1010,Clothing,606,30006.04,10/4/2023,Nagpur,Pending
R-5009,D-2584,Medical Kits,103,7202.96,7/31/2009,Solapur,Allocated
R-5010,D-1635,Clothing,110,46225.7,2/17/2016,Satara,Used
R-5011,D-1366,Water,754,25284.38,2/13/2015,Nashik,Allocated
R-5012,D-1218,Rescue Equipment,532,10330.23,10/4/2011,Thane,Used
R-5013,D-1268,Shelter,613,37521.72,11/25/2012,Aurangabad,Used
R-5014,D-2029,Rescue Equipment,304,47007.91,1/28/2005,Mumbai,Pending
R-5015,D-2686,Rescue Equipment,375,18740.61,8/25/2011,Mumbai,Pending
R-5016,D-1750,Shelter,53,35796.23,10/22/2006,Aurangabad,Allocated
R-5017,D-2969,Shelter,842,39791.3,1/14/2017,Nashik,Pending
R-5018,D-2216,Medical Kits,495,3540.03,10/6/2005,Aurangabad,Allocated
R-5019,D-1173,Clothing,397,20438.41,11/6/2016,Pune,Pending
R-5020,D-1427,Water,267,5912.94,3/12/2006,Solapur,Used
R-5021,D-2654,Food,475,44062.91,4/5/2008,Kolhapur,Allocated
R-5022,D-2143,Medical Kits,279,18565.74,10/6/2019,Satara,Allocated
R-5023,D-1123,Water,89,40616.2,7/8/2018,Aurangabad,Pending
R-5024,D-1159,Shelter,806,15585.15,10/13/2008,Thane,Used
R-5025,D-2280,Water,792,48787.85,12/12/2008,Thane,Pending
R-5026,D-2146,Medical Kits,965,27692.74,1/23/2022,Kolhapur,Pending
R-5027,D-1544,Clothing,336,37630.79,11/26/2020,Aurangabad,Pending
R-5028,D-1053,Medical Kits,483,19850.49,7/13/2010,Aurangabad,Allocated
R-5029,D-1888,Rescue Equipment,873,17478.5,10/1/2021,Mumbai,Pending
R-5030,D-2187,Clothing,773,2868.03,11/8/2006,Mumbai,Used
R-5031,D-1926,Clothing,936,48845.12,4/11/2009,Mumbai,Allocated
R-5032,D-1798,Medical Kits,86,21057.66,12/21/2010,Aurangabad,Used
R-5033,D-2889,Medical Kits,524,6834.53,4/24/2014,Pune,Used
R-5034,D-1369,Medical Kits,513,22668.94,1/5/2019,Satara,Allocated
R-5035,D-2925,Medical Kits,376,33299.01,2/11/2022,Satara,Allocated
R-5036,D-1328,Shelter,610,24967.65,1/6/2022,Aurangabad,Pending
R-5037,D-1083,Water,641,36778.45,4/24/2008,Nashik,Allocated
R-5038,D-2523,Shelter,757,39071.17,7/11/2018,Thane,Pending
R-5039,D-2719,Rescue Equipment,522,9423.45,4/5/2006,Nashik,Allocated
R-5040,D-1079,Food,800,45281.77,9/16/2016,Aurangabad,Used
R-5041,D-1689,Water,679,23904.04,4/24/2023,Satara,Pending
R-5042,D-1877,Rescue Equipment,298,40535.98,8/18/2023,Thane,Allocated
